pipeline,question_id,question,accepted_pages,retrieved_chunk_ids,retrieved_pages,raw_scores,rank_first_accepted_page,hit,reciprocal_rank,latency_ms
dense,q11,How did cereals inflation move from October 2024 to February 2025?,[32],"[""rbi_mpr_2025_04_p032_c00"", ""rbi_mpr_2025_04_p033_c01"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p031_c00""]","[32, 33, 25, 31]","[0.5426450749642768, 0.5420139680546747, 0.50119938142521, 0.4869214621425685]",1,True,1.0,24.614599999040365
dense,q12,What mainly drove the pick-up in core inflation between August 2024 and February 2025?,[40],"[""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p040_c00"", ""rbi_mpr_2025_04_p039_c02"", ""rbi_mpr_2025_04_p105_c01""]","[41, 40, 39, 105]","[0.6495824613764822, 0.6039967672018874, 0.5912424986397632, 0.5745842096469234]",2,True,0.5,30.638800002634525
dense,q13,What was PFCE growth in Q3:2024-25 and its contribution to GDP growth?,[48],"[""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p100_c02"", ""rbi_mpr_2025_04_p053_c00"", ""rbi_mpr_2025_04_p050_c02""]","[100, 100, 53, 50]","[0.444807488173513, 0.43185458151435696, 0.42899559219246897, 0.4204016811937037]",,False,0.0,36.35720000602305
dense,q14,How much did domestic air passenger traffic grow in Q3:2024-25?,[49],"[""rbi_mpr_2025_04_p066_c00"", ""rbi_mpr_2025_04_p067_c00"", ""rbi_mpr_2025_04_p048_c00"", ""rbi_mpr_2025_04_p049_c00""]","[66, 67, 48, 49]","[0.5411803876848262, 0.5131848914704955, 0.3935784574238549, 0.31751136161605975]",4,True,0.25,31.828799983486533
dense,q15,What was India's investment rate in 2023-24?,[52],"[""rbi_mpr_2025_04_p059_c00"", ""rbi_mpr_2025_04_p087_c02"", ""rbi_mpr_2025_04_p084_c02"", ""rbi_mpr_2025_04_p059_c02""]","[59, 87, 84, 59]","[0.5282555508267786, 0.4330645332414077, 0.4147638658557954, 0.39265101602237273]",,False,0.0,26.15029999287799
dense,q16,What were the Centre's gross market borrowings in 2024-25?,[57],"[""rbi_mpr_2025_04_p057_c03"", ""rbi_mpr_2025_04_p057_c00"", ""rbi_mpr_2025_04_p054_c00"", ""rbi_mpr_2025_04_p082_c02""]","[57, 57, 54, 82]","[0.41405470298275104, 0.39533067050384685, 0.3869168951356171, 0.3781428485063162]",1,True,1.0,34.97729997616261
dense,q17,What was foodgrains production per the second advance estimate for 2024-25?,[61],"[""rbi_mpr_2025_04_p061_c00"", ""rbi_mpr_2025_04_p061_c01"", ""rbi_mpr_2025_04_p035_c01"", ""rbi_mpr_2025_04_p031_c00""]","[61, 61, 35, 31]","[0.48051497258151865, 0.46899703967361295, 0.4218095545213616, 0.40858543289203786]",1,True,1.0,30.55639995727688
dense,q18,"What was rice procurement as of March 31, 2025?",[62],"[""rbi_mpr_2025_04_p033_c00"", ""rbi_mpr_2025_04_p062_c00"", ""rbi_mpr_2025_04_p062_c02"", ""rbi_mpr_2025_04_p035_c01""]","[33, 62, 62, 35]","[0.38550699875923067, 0.3454578410455723, 0.31788857591023223, 0.28843661105191054]",2,True,0.5,26.87490003881976
dense,q19,How did industrial sector growth move in 2024-25 per the second advance estimate?,[63],"[""rbi_mpr_2025_04_p100_c02"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p099_c03"", ""rbi_mpr_2025_04_p101_c02""]","[100, 12, 99, 101]","[0.4539760293048759, 0.42665273317744545, 0.4220323006157416, 0.42073527349966733]",,False,0.0,28.473899990785867
dense,q20,What were the major drivers of liquidity during H2:2024-25?,[70],"[""rbi_mpr_2025_04_p069_c00"", ""rbi_mpr_2025_04_p070_c00"", ""rbi_mpr_2025_04_p075_c00"", ""rbi_mpr_2025_04_p043_c00""]","[69, 70, 75, 43]","[0.43811992127974386, 0.3779785179439722, 0.3349653831087852, 0.3299758705946716]",2,True,0.5,29.122099978849292
dense,q21,What was the average daily net absorption under the LAF in Q3:2024-25?,[71],"[""rbi_mpr_2025_04_p070_c03"", ""rbi_mpr_2025_04_p069_c05"", ""rbi_mpr_2025_04_p059_c04"", ""rbi_mpr_2025_04_p071_c00""]","[70, 69, 59, 71]","[0.4317213974730625, 0.31870255799552316, 0.2817457145571092, 0.2767691832723368]",4,True,0.25,30.87220003362745
dense,q22,"What was Reserve Money (RM) growth as of March 28, 2025?",[73],"[""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p012_c01"", ""rbi_mpr_2025_04_p060_c00"", ""rbi_mpr_2025_04_p073_c01""]","[73, 12, 60, 73]","[0.6126501895507501, 0.4648403910329231, 0.4005889534709145, 0.3623022505214363]",1,True,1.0,35.84120003506541
dense,q23,What range did the 10-year G-sec yield move in during H2:2024-25?,[78],"[""rbi_mpr_2025_04_p078_c00"", ""rbi_mpr_2025_04_p080_c02"", ""rbi_mpr_2025_04_p079_c00"", ""rbi_mpr_2025_04_p113_c01""]","[78, 80, 79, 113]","[0.411715595037245, 0.3672466659076432, 0.3323500025712902, 0.3108526653135206]",1,True,1.0,30.57709999848157
dense,q24,What was the weighted average maturity of outstanding G-secs at end-March 2025?,[80],"[""rbi_mpr_2025_04_p080_c02"", ""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p076_c05"", ""rbi_mpr_2025_04_p018_c03""]","[80, 80, 76, 18]","[0.35628414416941423, 0.35335388452669425, 0.26439276120711275, 0.259116650123125]",1,True,1.0,28.843199950642884
dense,q25,How much did credit to MSMEs grow in February 2025?,[89],"[""rbi_mpr_2025_04_p089_c00"", ""rbi_mpr_2025_04_p089_c02"", ""rbi_mpr_2025_04_p088_c01"", ""rbi_mpr_2025_04_p092_c01""]","[89, 89, 88, 92]","[0.4990175233714981, 0.3404931951720801, 0.3294522381487722, 0.31883506768724146]",1,True,1.0,30.738000001292676
dense,q26,By how much did the 1-year median MCLR rise during the May 2022 to January 2025 tightening cycle?,[93],"[""rbi_mpr_2025_04_p099_c04"", ""rbi_mpr_2025_04_p101_c03"", ""rbi_mpr_2025_04_p039_c02"", ""rbi_mpr_2025_04_p099_c03""]","[99, 101, 39, 99]","[0.36035203154714013, 0.34871351650564486, 0.3454879338954091, 0.34412212312256507]",,False,0.0,26.835200027562678
dense,q27,How did Euro area and UK GDP growth compare in Q4:2024?,[100],"[""rbi_mpr_2025_04_p100_c00"", ""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p047_c02"", ""rbi_mpr_2025_04_p048_c03""]","[100, 100, 47, 48]","[0.4695707425755432, 0.4551198947734615, 0.41516565176264975, 0.3878074580446522]",1,True,1.0,30.268599977716804
dense,q28,How did Brazil's GDP growth move in Q4:2024?,[101],"[""rbi_mpr_2025_04_p101_c00"", ""rbi_mpr_2025_04_p048_c03"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p013_c00""]","[101, 48, 12, 13]","[0.5392299158294391, 0.4386960265520393, 0.4262707984362397, 0.41001450608449674]",1,True,1.0,28.812100004870445
dense,q29,What milestone did gold prices cross in Q1:2025?,[105],"[""rbi_mpr_2025_04_p105_c00"", ""rbi_mpr_2025_04_p104_c01"", ""rbi_mpr_2025_04_p011_c02"", ""rbi_mpr_2025_04_p103_c01""]","[105, 104, 11, 103]","[0.39331069849526523, 0.36396755679979864, 0.3368297489526646, 0.3117162542395089]",1,True,1.0,24.621599994134158
dense,q30,How did Russia's CPI inflation move between September 2024 and February 2025?,[106],"[""rbi_mpr_2025_04_p106_c00"", ""rbi_mpr_2025_04_p105_c02"", ""rbi_mpr_2025_04_p105_c01"", ""rbi_mpr_2025_04_p039_c03""]","[106, 105, 105, 39]","[0.5928216146129208, 0.5343720700700735, 0.4713943945637611, 0.44923176930224706]",1,True,1.0,25.66119999391958
dense_reranked,q01,What was India's real GDP growth for 2024-25 per the second advance estimate?,[11],"[""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p047_c03"", ""rbi_mpr_2025_04_p012_c04""]","[11, 13, 47, 12]","[7.407986164093018, 7.195098400115967, 4.2773284912109375, 4.147915363311768]",1,True,1.0,1313.313000020571
dense_reranked,q02,By how much was the Cash Reserve Ratio (CRR) reduced in December 2024?,[12],"[""rbi_mpr_2025_04_p069_c02"", ""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p012_c01""]","[69, 73, 12, 12]","[6.03146505355835, 5.495893955230713, 5.334165096282959, 5.173666000366211]",3,True,0.3333333333333333,1316.9092999887653
dense_reranked,q03,What did the MPC decide at its February 2025 meeting?,[13],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p012_c01"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p013_c03""]","[12, 12, 12, 13]","[4.188892841339111, 3.402388095855713, 3.3720240592956543, 3.111870765686035]",4,True,0.25,883.9495999854989
dense_reranked,q04,What model is used in Box I.1 to study inflation expectations of economic agents?,[16],"[""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p016_c01"", ""rbi_mpr_2025_04_p016_c04"", ""rbi_mpr_2025_04_p005_c00""]","[16, 16, 16, 5]","[7.561100959777832, 5.310635089874268, 3.7610678672790527, 3.1826138496398926]",1,True,1.0,1123.3669000212103
dense_reranked,q05,What did professional forecasters project for CPI inflation in Q4:2024-25 as per the March 2025 survey?,[17],"[""rbi_mpr_2025_04_p017_c01"", ""rbi_mpr_2025_04_p017_c00"", ""rbi_mpr_2025_04_p018_c00"", ""rbi_mpr_2025_04_p018_c03""]","[17, 17, 18, 18]","[7.806324481964111, 6.170855522155762, 5.133172988891602, 4.264232635498047]",1,True,1.0,1037.4011999811046
dense_reranked,q06,What is the CPI inflation projection for 2025-26?,[18],"[""rbi_mpr_2025_04_p018_c00"", ""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p026_c03"", ""rbi_mpr_2025_04_p105_c01""]","[18, 12, 26, 105]","[8.407083511352539, 7.461174964904785, 6.287467002868652, 5.675508499145508]",1,True,1.0,985.0551999988966
dense_reranked,q07,What is the real GDP growth projection for 2025-26?,[20],"[""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p020_c03"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p012_c02""]","[20, 20, 12, 12]","[8.098133087158203, 6.932634353637695, 6.8238115310668945, 6.562213897705078]",1,True,1.0,1058.0565999844112
dense_reranked,q08,Where did headline CPI inflation stand relative to the target by February 2025?,[25],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p025_c02"", ""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p105_c01""]","[25, 25, 26, 105]","[6.018728256225586, 5.374889373779297, 4.719164848327637, 4.607744216918945]",1,True,1.0,792.3840999719687
dense_reranked,q09,How much did headline inflation surge from August to September 2024?,[26],"[""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c03"", ""rbi_mpr_2025_04_p105_c02""]","[26, 25, 105, 105]","[7.742739677429199, 6.672487258911133, 6.19986629486084, 5.271414756774902]",1,True,1.0,972.9970000335015
dense_reranked,q10,What was food inflation in February 2025?,[31],"[""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p038_c00"", ""rbi_mpr_2025_04_p030_c01"", ""rbi_mpr_2025_04_p031_c01""]","[25, 38, 30, 31]","[7.61752986907959, 7.340142250061035, 7.27596378326416, 6.940227031707764]",4,True,0.25,648.2627000077628
dense_reranked,q11,How did cereals inflation move from October 2024 to February 2025?,[32],"[""rbi_mpr_2025_04_p032_c00"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p031_c01""]","[32, 25, 25, 31]","[5.917655944824219, 5.588052749633789, 4.777306079864502, 3.841068744659424]",1,True,1.0,857.6430999673903
dense_reranked,q12,What mainly drove the pick-up in core inflation between August 2024 and February 2025?,[40],"[""rbi_mpr_2025_04_p040_c00"", ""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p039_c01"", ""rbi_mpr_2025_04_p025_c03""]","[40, 41, 39, 25]","[8.15629768371582, 8.086000442504883, 7.952388286590576, 6.425978183746338]",1,True,1.0,995.5414999858476
dense_reranked,q13,What was PFCE growth in Q3:2024-25 and its contribution to GDP growth?,[48],"[""rbi_mpr_2025_04_p048_c00"", ""rbi_mpr_2025_04_p053_c00"", ""rbi_mpr_2025_04_p047_c02"", ""rbi_mpr_2025_04_p012_c04""]","[48, 53, 47, 12]","[7.810110569000244, 5.037854194641113, 4.1503424644470215, 3.985140800476074]",1,True,1.0,1226.952800003346
dense_reranked,q14,How much did domestic air passenger traffic grow in Q3:2024-25?,[49],"[""rbi_mpr_2025_04_p048_c00"", ""rbi_mpr_2025_04_p066_c00"", ""rbi_mpr_2025_04_p066_c01"", ""rbi_mpr_2025_04_p067_c00""]","[48, 66, 66, 67]","[8.14019775390625, 7.125303268432617, 5.077771186828613, 4.337128639221191]",,False,0.0,1149.1782999946736
dense_reranked,q15,What was India's investment rate in 2023-24?,[52],"[""rbi_mpr_2025_04_p059_c01"", ""rbi_mpr_2025_04_p059_c00"", ""rbi_mpr_2025_04_p059_c02"", ""rbi_mpr_2025_04_p014_c01""]","[59, 59, 59, 14]","[4.424324035644531, 3.928241014480591, 2.8758962154388428, 1.7794373035430908]",,False,0.0,1158.4733999916352
dense_reranked,q16,What were the Centre's gross market borrowings in 2024-25?,[57],"[""rbi_mpr_2025_04_p057_c00"", ""rbi_mpr_2025_04_p057_c01"", ""rbi_mpr_2025_04_p057_c03"", ""rbi_mpr_2025_04_p054_c00""]","[57, 57, 57, 54]","[9.051164627075195, 6.726776123046875, 6.460901260375977, 3.394073247909546]",1,True,1.0,1072.167200036347
dense_reranked,q17,What was foodgrains production per the second advance estimate for 2024-25?,[61],"[""rbi_mpr_2025_04_p061_c00"", ""rbi_mpr_2025_04_p061_c01"", ""rbi_mpr_2025_04_p013_c01"", ""rbi_mpr_2025_04_p032_c00""]","[61, 61, 13, 32]","[8.52232551574707, 5.114699840545654, 4.005492687225342, 3.7116475105285645]",1,True,1.0,712.5763000221923
dense_reranked,q18,"What was rice procurement as of March 31, 2025?",[62],"[""rbi_mpr_2025_04_p062_c00"", ""rbi_mpr_2025_04_p033_c00"", ""rbi_mpr_2025_04_p062_c02"", ""rbi_mpr_2025_04_p032_c00""]","[62, 33, 62, 32]","[7.814657688140869, 3.741891860961914, 0.22948883473873138, -0.21946170926094055]",1,True,1.0,892.2802999732085
dense_reranked,q19,How did industrial sector growth move in 2024-25 per the second advance estimate?,[63],"[""rbi_mpr_2025_04_p063_c00"", ""rbi_mpr_2025_04_p012_c04"", ""rbi_mpr_2025_04_p063_c01"", ""rbi_mpr_2025_04_p064_c00""]","[63, 12, 63, 64]","[5.392118453979492, 2.6371712684631348, 2.5055503845214844, 2.458364486694336]",1,True,1.0,943.1024999939837
dense_reranked,q20,What were the major drivers of liquidity during H2:2024-25?,[70],"[""rbi_mpr_2025_04_p070_c00"", ""rbi_mpr_2025_04_p075_c00"", ""rbi_mpr_2025_04_p085_c00"", ""rbi_mpr_2025_04_p075_c01""]","[70, 75, 85, 75]","[8.518046379089355, 5.003409385681152, 4.521918296813965, 4.125659465789795]",1,True,1.0,746.9792000483721
dense_reranked,q21,What was the average daily net absorption under the LAF in Q3:2024-25?,[71],"[""rbi_mpr_2025_04_p071_c00"", ""rbi_mpr_2025_04_p069_c05"", ""rbi_mpr_2025_04_p070_c03"", ""rbi_mpr_2025_04_p079_c03""]","[71, 69, 70, 79]","[6.925973415374756, 6.000217914581299, 3.4754819869995117, 0.9739872217178345]",1,True,1.0,860.4290999937803
dense_reranked,q22,"What was Reserve Money (RM) growth as of March 28, 2025?",[73],"[""rbi_mpr_2025_04_p073_c00"", ""rbi_mpr_2025_04_p060_c00"", ""rbi_mpr_2025_04_p073_c01"", ""rbi_mpr_2025_04_p012_c01""]","[73, 60, 73, 12]","[7.560876846313477, 4.895124435424805, 3.5199899673461914, 3.123210906982422]",1,True,1.0,1078.7396999658085
dense_reranked,q23,What range did the 10-year G-sec yield move in during H2:2024-25?,[78],"[""rbi_mpr_2025_04_p078_c00"", ""rbi_mpr_2025_04_p079_c00"", ""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p073_c01""]","[78, 79, 80, 73]","[9.637723922729492, 5.440991401672363, 5.156606674194336, 3.315828323364258]",1,True,1.0,1083.377400005702
dense_reranked,q24,What was the weighted average maturity of outstanding G-secs at end-March 2025?,[80],"[""rbi_mpr_2025_04_p080_c00"", ""rbi_mpr_2025_04_p080_c01"", ""rbi_mpr_2025_04_p079_c02"", ""rbi_mpr_2025_04_p080_c02""]","[80, 80, 79, 80]","[8.833587646484375, 1.861008644104004, -0.6318719387054443, -1.8840534687042236]",1,True,1.0,1076.8349000136368
dense_reranked,q25,How much did credit to MSMEs grow in February 2025?,[89],"[""rbi_mpr_2025_04_p089_c00"", ""rbi_mpr_2025_04_p088_c01"", ""rbi_mpr_2025_04_p092_c01"", ""rbi_mpr_2025_04_p088_c00""]","[89, 88, 92, 88]","[8.533510208129883, 5.435396194458008, 4.302280426025391, 1.8256759643554688]",1,True,1.0,1069.4554000510834
dense_reranked,q26,By how much did the 1-year median MCLR rise during the May 2022 to January 2025 tightening cycle?,[93],"[""rbi_mpr_2025_04_p044_c01"", ""rbi_mpr_2025_04_p015_c02"", ""rbi_mpr_2025_04_p015_c01"", ""rbi_mpr_2025_04_p107_c00""]","[44, 15, 15, 107]","[-0.08841118216514587, -0.5806397795677185, -1.103621244430542, -1.29844069480896]",,False,0.0,802.5150000466965
dense_reranked,q27,How did Euro area and UK GDP growth compare in Q4:2024?,[100],"[""rbi_mpr_2025_04_p100_c00"", ""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p047_c02""]","[100, 100, 20, 47]","[7.2485671043396, 7.0083770751953125, 3.885507583618164, 3.3527438640594482]",1,True,1.0,2076.506600016728
dense_reranked,q28,How did Brazil's GDP growth move in Q4:2024?,[101],"[""rbi_mpr_2025_04_p101_c00"", ""rbi_mpr_2025_04_p100_c03"", ""rbi_mpr_2025_04_p047_c02"", ""rbi_mpr_2025_04_p012_c04""]","[101, 100, 47, 12]","[7.75394344329834, 5.49547815322876, 2.9988040924072266, 2.960391044616699]",1,True,1.0,2001.1442999821156
dense_reranked,q29,What milestone did gold prices cross in Q1:2025?,[105],"[""rbi_mpr_2025_04_p105_c00"", ""rbi_mpr_2025_04_p104_c01"", ""rbi_mpr_2025_04_p011_c02"", ""rbi_mpr_2025_04_p030_c01""]","[105, 104, 11, 30]","[4.693975448608398, 4.140515327453613, 2.327934980392456, 1.5042166709899902]",1,True,1.0,1244.0133999916725
dense_reranked,q30,How did Russia's CPI inflation move between September 2024 and February 2025?,[106],"[""rbi_mpr_2025_04_p106_c00"", ""rbi_mpr_2025_04_p105_c03"", ""rbi_mpr_2025_04_p039_c02"", ""rbi_mpr_2025_04_p039_c01""]","[106, 105, 39, 39]","[7.523594856262207, 6.486532211303711, 5.527957916259766, 5.48021125793457]",1,True,1.0,1093.5124999959953
bm25,q01,What was India's real GDP growth for 2024-25 per the second advance estimate?,[11],"[""rbi_mpr_2025_04_p011_c04"", ""rbi_mpr_2025_04_p100_c02"", ""rbi_mpr_2025_04_p013_c00"", ""rbi_mpr_2025_04_p012_c04""]","[11, 100, 13, 12]","[null, null, null, null]",1,True,1.0,15.883299987763166
bm25,q02,By how much was the Cash Reserve Ratio (CRR) reduced in December 2024?,[12],"[""rbi_mpr_2025_04_p069_c02"", ""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p012_c01"", ""rbi_mpr_2025_04_p012_c03""]","[69, 12, 12, 12]","[null, null, null, null]",2,True,0.5,3.1364999595098197
bm25,q03,What did the MPC decide at its February 2025 meeting?,[13],"[""rbi_mpr_2025_04_p012_c00"", ""rbi_mpr_2025_04_p013_c02"", ""rbi_mpr_2025_04_p012_c03"", ""rbi_mpr_2025_04_p105_c01""]","[12, 13, 12, 105]","[null, null, null, null]",2,True,0.5,1.6246000304818153
bm25,q04,What model is used in Box I.1 to study inflation expectations of economic agents?,[16],"[""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p016_c01"", ""rbi_mpr_2025_04_p073_c03"", ""rbi_mpr_2025_04_p028_c03""]","[16, 16, 73, 28]","[null, null, null, null]",1,True,1.0,2.0394999883137643
bm25,q05,What did professional forecasters project for CPI inflation in Q4:2024-25 as per the March 2025 survey?,[17],"[""rbi_mpr_2025_04_p017_c01"", ""rbi_mpr_2025_04_p017_c00"", ""rbi_mpr_2025_04_p019_c02"", ""rbi_mpr_2025_04_p105_c02""]","[17, 17, 19, 105]","[null, null, null, null]",1,True,1.0,2.9599000117741525
bm25,q06,What is the CPI inflation projection for 2025-26?,[18],"[""rbi_mpr_2025_04_p013_c02"", ""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p012_c03""]","[13, 12, 16, 12]","[null, null, null, null]",,False,0.0,1.2593999854288995
bm25,q07,What is the real GDP growth projection for 2025-26?,[20],"[""rbi_mpr_2025_04_p020_c00"", ""rbi_mpr_2025_04_p021_c03"", ""rbi_mpr_2025_04_p012_c05"", ""rbi_mpr_2025_04_p019_c02""]","[20, 21, 12, 19]","[null, null, null, null]",1,True,1.0,1.2206999817863107
bm25,q08,Where did headline CPI inflation stand relative to the target by February 2025?,[25],"[""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p025_c02"", ""rbi_mpr_2025_04_p046_c00"", ""rbi_mpr_2025_04_p105_c02""]","[25, 25, 46, 105]","[null, null, null, null]",1,True,1.0,1.782100007403642
bm25,q09,How much did headline inflation surge from August to September 2024?,[26],"[""rbi_mpr_2025_04_p026_c00"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p025_c00"", ""rbi_mpr_2025_04_p105_c02""]","[26, 25, 25, 105]","[null, null, null, null]",1,True,1.0,1.9699999829754233
bm25,q10,What was food inflation in February 2025?,[31],"[""rbi_mpr_2025_04_p042_c00"", ""rbi_mpr_2025_04_p016_c00"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p030_c01""]","[42, 16, 25, 30]","[null, null, null, null]",,False,0.0,1.1151000508107245
bm25,q11,How did cereals inflation move from October 2024 to February 2025?,[32],"[""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p025_c01"", ""rbi_mpr_2025_04_p105_c02"", ""rbi_mpr_2025_04_p023_c01""]","[41, 25, 105, 23]","[null, null, null, null]",,False,0.0,1.4333000290207565
bm25,q12,What mainly drove the pick-up in core inflation between August 2024 and February 2025?,[40],"[""rbi_mpr_2025_04_p040_c00"", ""rbi_mpr_2025_04_p039_c00"", ""rbi_mpr_2025_04_p041_c00"", ""rbi_mpr_2025_04_p026_c01""]","[40, 39, 41, 26]","[null, null, null, null]",1,True,1.0,1.9541000365279615
bm25,q13,What was PFCE growth in Q3:2024-25 and its contribution to GDP growth?,[48],"[""rbi_mpr_2025_04_p049_c02"", ""rbi_mpr_2025_04_p049_c03"", ""rbi_mpr_2025_04_p048_c02"", ""rbi_mpr_2025_04_p030_c01""]","[49, 49, 48, 30]","[null, null, null, null]",3,True,0.3333333333333333,2.0742000197060406
